Tamanho,Algoritmo,Tipo_Entrada,Tempo(s)
1000,BubbleSortClassico,Aleatorio,0.0010
1000,BubbleSortClassico,Crescente,0.0010
1000,BubbleSortClassico,Decrescente,0.0020
1000,BubbleSortMelhorado,Aleatorio,0.0010
1000,BubbleSortMelhorado,Crescente,0.0000
1000,BubbleSortMelhorado,Decrescente,0.0020
1000,QuickSortInicio,Aleatorio,0.0000
1000,QuickSortInicio,Crescente,0.0010
1000,QuickSortInicio,Decrescente,0.0000
1000,QuickSortMeio,Aleatorio,0.0000
1000,QuickSortMeio,Crescente,0.0000
1000,QuickSortMeio,Decrescente,0.0000
1000,InsertionSort,Aleatorio,0.0010
1000,InsertionSort,Crescente,0.0000
1000,InsertionSort,Decrescente,0.0000
1000,ShellSort,Aleatorio,0.0000
1000,ShellSort,Crescente,0.0000
1000,ShellSort,Decrescente,0.0000
1000,SelectionSort,Aleatorio,0.0000
1000,SelectionSort,Crescente,0.0010
1000,SelectionSort,Decrescente,0.0000
1000,HeapSort,Aleatorio,0.0000
1000,HeapSort,Crescente,0.0000
1000,HeapSort,Decrescente,0.0010
1000,MergeSort,Aleatorio,0.0000
1000,MergeSort,Crescente,0.0000
1000,MergeSort,Decrescente,0.0000
5000,BubbleSortClassico,Aleatorio,0.0340
5000,BubbleSortClassico,Crescente,0.0270
5000,BubbleSortClassico,Decrescente,0.0410
5000,BubbleSortMelhorado,Aleatorio,0.0330
5000,BubbleSortMelhorado,Crescente,0.0000
5000,BubbleSortMelhorado,Decrescente,0.0410
5000,QuickSortInicio,Aleatorio,0.0000
5000,QuickSortInicio,Crescente,0.0070
5000,QuickSortInicio,Decrescente,0.0070
5000,QuickSortMeio,Aleatorio,0.0010
5000,QuickSortMeio,Crescente,0.0000
5000,QuickSortMeio,Decrescente,0.0000
5000,InsertionSort,Aleatorio,0.0090
5000,InsertionSort,Crescente,0.0000
5000,InsertionSort,Decrescente,0.0170
5000,ShellSort,Aleatorio,0.0000
5000,ShellSort,Crescente,0.0000
5000,ShellSort,Decrescente,0.0000
5000,SelectionSort,Aleatorio,0.0120
5000,SelectionSort,Crescente,0.0100
5000,SelectionSort,Decrescente,0.0140
5000,HeapSort,Aleatorio,0.0000
5000,HeapSort,Crescente,0.0010
5000,HeapSort,Decrescente,0.0010
5000,MergeSort,Aleatorio,0.0010
5000,MergeSort,Crescente,0.0000
5000,MergeSort,Decrescente,0.0010
10000,BubbleSortClassico,Aleatorio,0.1450
10000,BubbleSortClassico,Crescente,0.1090
10000,BubbleSortClassico,Decrescente,0.1680
10000,BubbleSortMelhorado,Aleatorio,0.1430
10000,BubbleSortMelhorado,Crescente,0.0000
10000,BubbleSortMelhorado,Decrescente,0.1670
10000,QuickSortInicio,Aleatorio,0.0010
10000,QuickSortInicio,Crescente,0.0280
10000,QuickSortInicio,Decrescente,0.0270
10000,QuickSortMeio,Aleatorio,0.0010
10000,QuickSortMeio,Crescente,0.0000
10000,QuickSortMeio,Decrescente,0.0000
10000,InsertionSort,Aleatorio,0.0360
10000,InsertionSort,Crescente,0.0000
10000,InsertionSort,Decrescente,0.0720
10000,ShellSort,Aleatorio,0.0010
10000,ShellSort,Crescente,0.0000
10000,ShellSort,Decrescente,0.0010
10000,SelectionSort,Aleatorio,0.0450
10000,SelectionSort,Crescente,0.0420
10000,SelectionSort,Decrescente,0.0560
10000,HeapSort,Aleatorio,0.0010
10000,HeapSort,Crescente,0.0010
10000,HeapSort,Decrescente,0.0010
10000,MergeSort,Aleatorio,0.0010
10000,MergeSort,Crescente,0.0010
10000,MergeSort,Decrescente,0.0010
15000,BubbleSortClassico,Aleatorio,0.3360
15000,BubbleSortClassico,Crescente,0.2390
15000,BubbleSortClassico,Decrescente,0.3820
15000,BubbleSortMelhorado,Aleatorio,0.3370
15000,BubbleSortMelhorado,Crescente,0.0000
15000,BubbleSortMelhorado,Decrescente,0.3820
15000,QuickSortInicio,Aleatorio,0.0020
15000,QuickSortInicio,Crescente,0.0620
15000,QuickSortInicio,Decrescente,0.0610
15000,QuickSortMeio,Aleatorio,0.0000
15000,QuickSortMeio,Crescente,0.0000
15000,QuickSortMeio,Decrescente,0.0000
15000,InsertionSort,Aleatorio,0.0890
15000,InsertionSort,Crescente,0.0000
15000,InsertionSort,Decrescente,0.1640
15000,ShellSort,Aleatorio,0.0020
15000,ShellSort,Crescente,0.0010
15000,ShellSort,Decrescente,0.0000
15000,SelectionSort,Aleatorio,0.0990
15000,SelectionSort,Crescente,0.0970
15000,SelectionSort,Decrescente,0.1250
15000,HeapSort,Aleatorio,0.0020
15000,HeapSort,Crescente,0.0020
15000,HeapSort,Decrescente,0.0010
15000,MergeSort,Aleatorio,0.0020
15000,MergeSort,Crescente,0.0010
15000,MergeSort,Decrescente,0.0010
20000,BubbleSortClassico,Aleatorio,0.6280
20000,BubbleSortClassico,Crescente,0.4260
20000,BubbleSortClassico,Decrescente,0.6810
20000,BubbleSortMelhorado,Aleatorio,0.6300
20000,BubbleSortMelhorado,Crescente,0.0000
20000,BubbleSortMelhorado,Decrescente,0.6800
20000,QuickSortInicio,Aleatorio,0.0010
20000,QuickSortInicio,Crescente,0.1100
20000,QuickSortInicio,Decrescente,0.1090
20000,QuickSortMeio,Aleatorio,0.0010
20000,QuickSortMeio,Crescente,0.0010
20000,QuickSortMeio,Decrescente,0.0000
20000,InsertionSort,Aleatorio,0.1460
20000,InsertionSort,Crescente,0.0000
20000,InsertionSort,Decrescente,0.2950
20000,ShellSort,Aleatorio,0.0030
20000,ShellSort,Crescente,0.0000
20000,ShellSort,Decrescente,0.0010
20000,SelectionSort,Aleatorio,0.1750
20000,SelectionSort,Crescente,0.1730
